Date,Total P2PK addresses,Total P2PK coins
01/12/2009 19:12:04,254,0
01/12/2009 19:26:37,255,0
01/12/2009 19:35:10,256,0
01/12/2009 19:46:03,257,0
01/12/2009 20:04:20,260,0
01/12/2009 20:11:35,261,0
01/12/2009 20:34:16,262,0
01/12/2009 20:55:59,263,0
01/12/2009 21:18:34,264,0
01/12/2009 21:31:22,265,0
01/12/2009 21:42:41,266,0
01/12/2009 21:54:50,267,0
01/12/2009 22:07:53,268,0
01/12/2009 22:26:03,269,0
01/12/2009 22:45:49,270,0
01/12/2009 23:05:41,271,0
01/12/2009 23:25:28,272,0
01/12/2009 23:33:43,273,0
01/12/2009 23:45:47,274,0
01/13/2009 00:10:21,275,0
01/13/2009 00:19:40,276,0
01/13/2009 00:20:51,277,0
01/13/2009 00:22:50,278,0
01/13/2009 00:36:04,279,0
01/13/2009 00:38:52,280,0
01/13/2009 00:41:33,281,0
01/13/2009 01:06:18,282,0
01/13/2009 01:25:00,283,0
01/13/2009 01:37:21,284,0
01/13/2009 01:46:59,285,0
01/13/2009 01:53:42,286,0
01/13/2009 02:15:26,287,0
01/13/2009 02:19:56,288,0
01/13/2009 02:50:25,289,0
01/13/2009 03:05:25,290,0
01/13/2009 03:09:29,291,0
01/13/2009 03:25:39,292,0
01/13/2009 03:34:19,293,0
01/13/2009 03:46:35,294,0
01/13/2009 03:59:17,295,0
01/13/2009 04:15:41,296,0
01/13/2009 04:36:57,297,0
01/13/2009 04:54:58,298,0
01/13/2009 05:02:47,299,0
01/13/2009 05:14:55,300,0
01/13/2009 05:24:32,301,0
01/13/2009 05:37:26,302,0
01/13/2009 05:48:27,303,0
01/13/2009 06:03:53,304,0
01/13/2009 06:18:09,305,0
01/13/2009 06:35:41,306,0
01/13/2009 06:46:23,307,0
01/13/2009 06:54:44,308,0
01/13/2009 06:56:12,309,0
01/13/2009 07:13:11,310,0
01/13/2009 07:28:14,311,0
01/13/2009 07:40:35,312,0
01/13/2009 07:52:55,313,0
01/13/2009 08:04:21,314,0
01/13/2009 08:25:08,315,0
01/13/2009 08:34:02,316,0
01/13/2009 08:52:35,317,0
01/13/2009 09:12:26,318,0
01/13/2009 09:21:33,319,0
01/13/2009 09:37:41,320,0
01/13/2009 09:38:24,321,0
01/13/2009 09:46:42,322,0
01/13/2009 09:49:00,323,0
01/13/2009 10:05:24,324,0
01/13/2009 10:14:59,325,0
01/13/2009 10:27:24,326,0
01/13/2009 10:46:37,327,0
01/13/2009 10:57:25,328,0
01/13/2009 11:05:15,329,0
01/13/2009 11:11:41,330,0
01/13/2009 11:27:28,331,0
01/13/2009 11:30:18,332,0
01/13/2009 11:43:10,333,0
01/13/2009 11:54:29,334,0
01/13/2009 12:06:12,335,0
01/13/2009 12:23:36,336,0
01/13/2009 12:33:07,337,0
01/13/2009 12:45:12,338,0
01/13/2009 12:58:51,339,0
01/13/2009 13:05:44,340,0
01/13/2009 13:11:46,341,0
01/13/2009 13:25:08,342,0
01/13/2009 13:42:52,343,0
01/13/2009 13:50:04,344,0
01/13/2009 13:58:01,345,0
01/13/2009 14:09:41,346,0
01/13/2009 14:13:51,347,0
01/13/2009 14:24:04,348,0
01/13/2009 14:31:48,349,0
01/13/2009 14:38:48,350,0
01/13/2009 14:44:19,351,0
01/13/2009 14:57:15,352,0
01/13/2009 15:05:59,353,0
01/13/2009 15:21:08,354,0
01/13/2009 15:36:27,355,0
01/13/2009 15:45:22,356,0
01/13/2009 15:51:33,357,0
01/13/2009 15:58:19,358,0
01/13/2009 16:14:50,359,0
01/13/2009 16:28:10,360,0
01/13/2009 16:40:57,361,0
01/13/2009 16:51:18,362,0
01/13/2009 17:05:58,363,0
01/13/2009 17:14:18,364,0
01/13/2009 17:32:43,365,0
01/13/2009 17:42:29,366,0
01/13/2009 17:59:37,367,0
01/13/2009 18:17:35,368,0
01/13/2009 18:20:08,369,0
01/13/2009 18:34:31,370,0
01/13/2009 18:48:36,371,0
01/13/2009 18:49:42,372,0
01/13/2009 18:57:05,373,0
01/13/2009 19:06:50,374,0
01/13/2009 19:16:41,375,0
01/13/2009 19:32:32,376,0
01/13/2009 19:43:57,377,0
01/13/2009 19:56:49,378,0
01/13/2009 20:07:28,379,0
01/13/2009 20:26:18,380,0
01/13/2009 20:45:35,381,0
01/13/2009 20:52:57,382,0
01/13/2009 21:00:31,383,0
01/13/2009 21:03:40,384,0
01/13/2009 21:08:07,385,0
01/13/2009 21:21:08,386,0
01/13/2009 21:40:23,387,0
01/13/2009 21:59:54,388,0
01/13/2009 22:15:50,389,0
01/13/2009 22:30:47,390,0
01/13/2009 22:40:24,391,0
01/13/2009 22:49:32,392,0
01/13/2009 23:03:26,393,0
01/13/2009 23:11:59,394,0
01/13/2009 23:29:17,395,0
01/13/2009 23:42:58,396,0
01/13/2009 23:56:10,397,0
01/14/2009 00:12:46,398,0
01/14/2009 00:28:56,399,0
01/14/2009 00:40:44,400,0
01/14/2009 00:53:46,401,0
01/14/2009 01:14:14,402,0
01/14/2009 01:30:14,403,0
01/14/2009 01:37:33,404,0
01/14/2009 01:46:43,405,0
01/14/2009 01:52:50,406,0
01/14/2009 01:58:51,407,0
01/14/2009 02:05:51,408,0
01/14/2009 02:20:18,409,0
01/14/2009 02:33:35,410,0
01/14/2009 02:48:59,411,0
01/14/2009 03:02:59,412,0
01/14/2009 03:14:28,413,0
01/14/2009 03:21:23,414,0
01/14/2009 03:30:35,415,0
01/14/2009 03:43:12,416,0
01/14/2009 04:01:19,417,0
01/14/2009 04:21:23,418,0
01/14/2009 04:33:00,419,0
01/14/2009 04:39:08,420,0
01/14/2009 04:54:23,421,0
01/14/2009 05:06:17,422,0
01/14/2009 05:20:33,423,0
01/14/2009 05:28:55,424,0
01/14/2009 05:43:58,425,0
01/14/2009 05:47:38,426,0
01/14/2009 05:56:05,427,0
01/14/2009 06:02:22,428,0
01/14/2009 06:14:18,429,0
01/14/2009 06:20:25,430,0
01/14/2009 06:22:48,431,0
01/14/2009 06:36:34,432,0
01/14/2009 06:43:35,433,0
01/14/2009 06:50:40,434,0
01/14/2009 07:02:13,435,0
01/14/2009 07:21:43,436,0
01/14/2009 07:27:45,437,0
01/14/2009 07:44:52,438,0
01/14/2009 08:05:54,439,0
01/14/2009 08:15:24,440,0
01/14/2009 08:34:01,441,0
01/14/2009 08:47:32,442,0
01/14/2009 08:52:21,443,0
01/14/2009 08:54:37,444,0
01/14/2009 09:10:58,445,0
01/14/2009 09:13:14,446,0
01/14/2009 09:28:18,447,0
01/14/2009 09:44:07,448,0
01/14/2009 10:01:40,449,0
01/14/2009 10:09:42,450,0
01/14/2009 10:25:40,451,0
01/14/2009 10:26:16,452,0
01/14/2009 10:42:25,453,0
01/14/2009 10:53:55,454,0
01/14/2009 11:01:02,455,0
01/14/2009 11:12:29,456,0
01/14/2009 11:20:01,457,0
01/14/2009 11:35:21,458,0
01/14/2009 11:47:46,459,0
01/14/2009 12:01:53,460,0
01/14/2009 12:11:59,461,0
01/14/2009 12:27:10,462,0
01/14/2009 12:34:45,463,0
01/14/2009 12:50:05,464,0
01/14/2009 13:07:39,465,0
01/14/2009 13:25:25,466,0
01/14/2009 13:36:09,467,0
01/14/2009 13:50:22,468,0
01/14/2009 14:09:47,469,0
01/14/2009 14:18:46,470,0
01/14/2009 14:27:54,471,0
01/14/2009 14:33:51,472,0
01/14/2009 14:37:56,473,0
01/14/2009 14:43:54,474,0
01/14/2009 14:49:22,475,0
01/14/2009 14:50:40,476,0
01/14/2009 14:56:08,477,0
01/14/2009 15:08:45,478,0
01/14/2009 15:14:52,479,0
01/14/2009 15:33:33,480,0
01/14/2009 15:48:12,481,0
01/14/2009 15:57:17,482,0
01/14/2009 16:13:16,483,0
01/14/2009 16:23:52,484,0
01/14/2009 16:24:32,485,0
01/14/2009 16:34:01,486,0
01/14/2009 16:41:50,487,0
01/14/2009 16:55:08,488,0
01/14/2009 17:12:37,489,0
01/14/2009 17:19:05,490,0
01/14/2009 17:39:37,491,0
01/14/2009 17:48:25,492,0
01/14/2009 18:09:48,493,0
01/14/2009 18:17:26,494,0
01/14/2009 18:35:31,495,0
01/14/2009 18:48:12,496,0
01/14/2009 18:49:55,497,0
01/14/2009 18:56:06,498,0
01/14/2009 19:06:23,499,0
01/14/2009 19:24:50,500,0
01/14/2009 19:43:07,501,0
01/14/2009 19:44:58,502,0
01/14/2009 19:51:06,503,0
01/14/2009 19:56:46,504,0
01/14/2009 19:58:23,505,0
01/14/2009 20:05:03,506,0
01/14/2009 20:23:16,507,0
01/14/2009 20:40:55,509,0
01/14/2009 20:51:56,510,0
01/14/2009 21:02:56,511,0
01/14/2009 21:14:40,512,0
01/14/2009 21:27:29,513,0
01/14/2009 21:38:31,514,0
01/14/2009 21:46:15,515,0
01/14/2009 22:04:53,516,0
01/14/2009 22:23:08,517,0
01/14/2009 22:40:58,518,0
01/14/2009 22:53:29,519,0
01/14/2009 22:54:16,520,0
01/14/2009 23:12:04,521,0
01/14/2009 23:18:32,522,0
01/14/2009 23:19:29,523,0
01/14/2009 23:25:47,524,0
01/14/2009 23:29:10,525,0
01/14/2009 23:42:27,526,0
01/14/2009 23:51:12,527,0
01/15/2009 00:10:02,528,0
01/15/2009 00:26:30,529,0
01/15/2009 00:32:39,530,0
01/15/2009 00:51:19,531,0
01/15/2009 01:10:16,532,0
01/15/2009 01:19:19,533,0
01/15/2009 01:24:05,534,0
01/15/2009 01:30:47,535,0
01/15/2009 01:38:33,536,0
01/15/2009 01:46:26,539,0
01/15/2009 02:03:16,540,0
01/15/2009 02:14:05,541,0
01/15/2009 02:21:19,542,0
01/15/2009 02:35:58,543,0
01/15/2009 02:37:08,544,0
01/15/2009 02:55:41,545,0
01/15/2009 03:10:40,546,0
01/15/2009 03:16:38,547,0
01/15/2009 03:24:12,548,0
01/15/2009 03:44:51,549,0
01/15/2009 03:55:24,550,0
01/15/2009 04:09:06,551,0
01/15/2009 04:15:12,552,0
01/15/2009 04:32:34,553,0
01/15/2009 04:46:34,554,0
01/15/2009 04:55:28,555,0
01/15/2009 05:02:27,556,0
01/15/2009 05:04:20,557,0
01/15/2009 05:17:32,558,0
01/15/2009 05:29:09,559,0
01/15/2009 05:48:32,562,0
01/15/2009 06:08:20,561,0
01/15/2009 06:18:50,562,0
01/15/2009 06:31:27,563,0
01/15/2009 06:50:35,564,0
01/15/2009 06:56:21,565,0
01/15/2009 07:10:53,566,0
01/15/2009 07:22:02,567,0
01/15/2009 07:44:22,568,0
01/15/2009 07:59:45,569,0
01/15/2009 08:11:59,570,0
01/15/2009 08:28:44,571,0
01/15/2009 08:37:02,572,0
01/15/2009 08:48:12,573,0
01/15/2009 09:04:40,574,0
01/15/2009 09:14:34,575,0
01/15/2009 09:32:35,576,0
01/15/2009 09:35:46,577,0
01/15/2009 09:40:02,578,0
01/15/2009 09:41:00,579,0
01/15/2009 09:59:20,580,0
01/15/2009 10:16:35,581,0
01/15/2009 10:21:46,582,0
01/15/2009 10:30:50,583,0
01/15/2009 10:36:02,584,0
01/15/2009 10:50:48,585,0
01/15/2009 10:57:14,586,0
01/15/2009 11:16:57,587,0
01/15/2009 11:26:21,588,0
01/15/2009 11:32:24,589,0
01/15/2009 11:49:31,590,0
01/15/2009 11:51:43,591,0
01/15/2009 12:12:45,592,0
01/15/2009 12:28:41,593,0
01/15/2009 12:41:58,594,0
01/15/2009 12:53:37,595,0
01/15/2009 13:02:41,596,0
01/15/2009 13:16:14,597,0
01/15/2009 13:34:05,598,0
01/15/2009 13:52:46,599,0
01/15/2009 14:06:45,600,0
01/15/2009 14:25:20,602,0
01/15/2009 14:39:14,603,0
01/15/2009 14:54:25,604,0
01/15/2009 15:13:36,605,0
01/15/2009 15:22:11,606,0
01/15/2009 15:33:42,607,0
01/15/2009 15:37:38,608,0
01/15/2009 15:51:56,611,0
01/15/2009 16:04:23,612,0
01/15/2009 16:18:44,613,0
01/15/2009 16:21:40,614,0
01/15/2009 16:26:30,615,0
01/15/2009 16:32:01,616,0
01/15/2009 16:47:10,617,0
01/15/2009 16:59:07,618,0
01/15/2009 17:07:27,619,0
01/15/2009 17:25:12,620,0
01/15/2009 17:41:54,621,0
01/15/2009 17:42:24,622,0
01/15/2009 17:48:40,623,0
01/15/2009 17:57:20,624,0
01/15/2009 17:59:53,625,0
01/15/2009 18:10:26,626,0
01/15/2009 18:15:49,627,0
01/15/2009 18:27:19,628,0
01/15/2009 18:36:34,629,0
01/15/2009 18:48:33,630,0
01/15/2009 18:49:32,631,0
01/15/2009 18:51:44,632,0
01/15/2009 19:04:50,633,0
01/15/2009 19:13:59,634,0
01/15/2009 19:23:38,635,0
01/15/2009 19:39:17,636,0
01/15/2009 19:52:19,637,0
01/15/2009 20:09:00,638,0
01/15/2009 20:15:37,639,0
01/15/2009 20:23:21,640,0
01/15/2009 20:36:37,641,0
01/15/2009 20:51:37,642,0
01/15/2009 20:52:42,643,0
01/15/2009 21:01:01,644,0
01/15/2009 21:16:14,645,0
01/15/2009 21:29:59,646,0
01/15/2009 21:41:43,647,0
01/15/2009 21:54:38,648,0
01/15/2009 22:07:30,649,0
01/15/2009 22:17:15,650,0
